reserva_cancelada;tempo_antecedencia;data_chegada;ano_chegada;mes_chegada;diadomes_chegada;nro_noites_fds;nro_noites_dds;adultos;criancas;bebes;alimentacao;país;segmento_mercado;cliente_recorrente;tipo_quarto;tipo_pgto;agencia_turismo;receita_por_noite;pedidos_especiais;status_reserva;data_status_reserva
0;9;2015-07-01;2015;7;1;0;2;2;0;0;FB;PRT;Direta;0;C;Sem pgto;303;103;1;Confirmada;2015-07-03
0;35;2015-07-01;2015;7;1;0;4;2;0;0;HB;PRT;AT Online;0;D;Sem pgto;240;145;0;Confirmada;2015-07-05
0;68;2015-07-01;2015;7;1;0;4;2;0;0;BB;USA;AT Online;0;D;Sem pgto;240;97;3;Confirmada;2015-07-05
0;18;2015-07-01;2015;7;1;0;4;2;1;0;HB;ESP;AT Online;0;G;Sem pgto;241;154.77;1;Confirmada;2015-07-05
0;37;2015-07-01;2015;7;1;0;4;2;0;0;BB;PRT;AT Online;0;E;Sem pgto;241;94.71;0;Confirmada;2015-07-05
0;68;2015-07-01;2015;7;1;0;4;2;0;0;BB;IRL;AT Online;0;D;Sem pgto;240;97;3;Confirmada;2015-07-05
0;37;2015-07-01;2015;7;1;0;4;2;0;0;BB;PRT;AT Offline;0;E;Sem pgto;8;97.5;0;Confirmada;2015-07-05
0;7;2015-07-01;2015;7;1;0;4;2;0;0;BB;GBR;Direta;0;G;Sem pgto;250;153;1;Confirmada;2015-07-05
0;181;2015-07-01;2015;7;1;0;4;2;0;0;BB;PRT;AT Online;0;D;Sem pgto;240;153;1;Confirmada;2015-07-05
0;126;2015-07-01;2015;7;1;0;4;2;0;0;BB;IRL;AT Offline;0;A;Sem pgto;253;62.5;0;Confirmada;2015-07-05
0;37;2015-07-01;2015;7;1;1;4;1;0;0;BB;GBR;AT Online;0;F;Sem pgto;241;97.29;1;Confirmada;2015-07-06
0;110;2015-07-01;2015;7;1;1;4;3;0;0;BB;ESP;AT Offline;0;A;Sem pgto;6;79.59;1;Confirmada;2015-07-06
0;72;2015-07-01;2015;7;1;2;4;2;0;0;BB;PRT;Direta;0;A;Sem pgto;250;84.67;1;Confirmada;2015-07-07
0;72;2015-07-01;2015;7;1;2;4;2;0;0;BB;PRT;Direta;0;A;Sem pgto;250;84.67;1;Confirmada;2015-07-07
0;72;2015-07-01;2015;7;1;2;4;2;0;0;BB;PRT;Direta;0;D;Sem pgto;250;99.67;1;Confirmada;2015-07-07
0;78;2015-07-01;2015;7;1;2;5;2;0;0;BB;PRT;AT Offline;0;D;Sem pgto;5;63.6;0;Confirmada;2015-07-08
0;48;2015-07-01;2015;7;1;2;5;2;0;0;BB;IRL;AT Offline;0;D;Sem pgto;8;79.5;0;Confirmada;2015-07-08
0;77;2015-07-01;2015;7;1;2;5;2;0;0;BB;PRT;AT Online;0;A;Sem pgto;240;94;0;Confirmada;2015-07-08
0;99;2015-07-01;2015;7;1;2;5;2;0;0;BB;PRT;AT Online;0;D;Sem pgto;240;87.3;1;Confirmada;2015-07-08
0;145;2015-07-01;2015;7;1;2;5;2;0;0;HB;GBR;AT Offline;0;A;Sem pgto;115;82.35;0;Confirmada;2015-07-08
0;149;2015-07-01;2015;7;1;2;5;2;0;0;BB;IRL;AT Offline;0;A;Sem pgto;156;55.68;0;Confirmada;2015-07-08
0;149;2015-07-01;2015;7;1;2;5;2;1;0;BB;IRL;AT Offline;0;A;Sem pgto;156;69.6;1;Confirmada;2015-07-08
0;118;2015-07-01;2015;7;1;4;10;1;0;0;BB;NULL;Direta;0;A;Sem pgto;NULL;62;2;Confirmada;2015-07-15
0;118;2015-07-01;2015;7;1;4;10;2;0;0;BB;NULL;Direta;0;E;Sem pgto;NULL;80;1;Confirmada;2015-07-15
0;95;2015-07-01;2015;7;1;4;11;2;0;0;BB;GBR;AT Offline;0;D;Sem pgto;241;63.86;0;Confirmada;2015-07-16
1;122;2015-07-02;2015;7;2;1;3;2;0;0;BB;PRT;AT Online;0;A;Sem pgto;240;110.7;1;Cancelada;2015-03-11
1;152;2015-07-02;2015;7;2;4;10;2;0;0;BB;PRT;AT Offline;0;D;Sem pgto;243;67.58;0;Cancelada;2015-04-03
1;45;2015-07-02;2015;7;2;2;3;2;0;0;BB;PRT;AT Online;0;G;Sem pgto;241;117.81;0;Cancelada;2015-05-18
1;45;2015-07-02;2015;7;2;1;3;3;0;0;BB;PRT;AT Online;0;D;Sem pgto;241;108.8;1;Cancelada;2015-05-19
1;43;2015-07-02;2015;7;2;1;3;3;0;0;BB;PRT;AT Online;0;D;Sem pgto;241;108.8;0;Cancelada;2015-05-23
1;47;2015-07-02;2015;7;2;2;5;2;2;0;BB;PRT;AT Online;0;G;Sem pgto;240;153;0;Cancelada;2015-06-02
1;57;2015-07-02;2015;7;2;0;3;1;0;0;BB;PRT;Direta;1;A;Sem pgto;NULL;63;0;Cancelada;2015-06-14
1;40;2015-07-02;2015;7;2;1;3;3;0;0;BB;PRT;AT Online;0;D;Sem pgto;241;108.8;1;Cancelada;2015-06-19
1;3;2015-07-02;2015;7;2;0;3;2;0;0;HB;PRT;AT Online;0;A;Sem pgto;240;136.33;2;Cancelada;2015-06-29
0;3;2015-07-02;2015;7;2;0;1;2;0;0;BB;ESP;AT Online;0;A;Sem pgto;240;88.2;0;Confirmada;2015-07-03
0;1;2015-07-02;2015;7;2;0;1;2;0;0;BB;ARG;AT Online;0;H;Sem pgto;240;147;0;Confirmada;2015-07-03
0;1;2015-07-02;2015;7;2;0;1;2;2;0;BB;ESP;Direta;0;C;Sem pgto;NULL;107;2;Confirmada;2015-07-03
0;0;2015-07-02;2015;7;2;0;1;2;0;0;BB;PRT;Direta;0;H;Sem pgto;NULL;147;0;Confirmada;2015-07-03
0;0;2015-07-02;2015;7;2;0;1;2;0;0;BB;PRT;AT Online;0;A;Sem pgto;240;117.9;2;Confirmada;2015-07-03
0;0;2015-07-02;2015;7;2;0;1;2;0;0;BB;PRT;Direta;0;G;Sem pgto;NULL;123;0;Confirmada;2015-07-03
0;14;2015-07-02;2015;7;2;0;2;2;0;0;BB;USA;AT Online;0;A;Sem pgto;242;98;1;Confirmada;2015-07-04
0;10;2015-07-02;2015;7;2;0;2;2;0;0;BB;PRT;AT Online;0;G;Sem pgto;241;117.81;0;Confirmada;2015-07-04
0;5;2015-07-02;2015;7;2;0;2;2;0;0;BB;IRL;AT Online;0;E;Sem pgto;240;135;2;Confirmada;2015-07-04
0;17;2015-07-02;2015;7;2;0;3;2;0;0;BB;ESP;Direta;0;F;Sem pgto;250;133;1;Confirmada;2015-07-05
0;93;2015-07-02;2015;7;2;0;3;2;0;0;BB;IRL;AT Offline;0;A;Sem pgto;115;58.95;0;Confirmada;2015-07-05
0;15;2015-07-02;2015;7;2;1;3;2;0;0;BB;ESP;AT Online;0;A;Sem pgto;240;98;0;Confirmada;2015-07-06
0;36;2015-07-02;2015;7;2;1;3;3;0;0;BB;PRT;AT Online;0;D;Sem pgto;241;108.8;1;Confirmada;2015-07-06
0;70;2015-07-02;2015;7;2;2;3;2;0;0;HB;ROU;Direta;0;E;Sem pgto;250;137;1;Confirmada;2015-07-07
0;45;2015-07-02;2015;7;2;2;3;2;0;0;BB;IRL;AT Offline;0;D;Sem pgto;8;79.5;0;Confirmada;2015-07-07
0;16;2015-07-02;2015;7;2;2;3;2;0;0;BB;ESP;Direta;0;F;Sem pgto;NULL;123;0;Confirmada;2015-07-07
0;70;2015-07-02;2015;7;2;2;3;2;0;0;HB;ROU;Direta;0;E;Sem pgto;250;137;1;Confirmada;2015-07-07
0;69;2015-07-02;2015;7;2;2;4;2;0;0;BB;IRL;AT Offline;0;A;Sem pgto;175;65.5;0;Confirmada;2015-07-08
0;150;2015-07-02;2015;7;2;2;4;2;0;0;BB;IRL;AT Offline;0;A;Sem pgto;156;55.68;0;Confirmada;2015-07-08
0;127;2015-07-02;2015;7;2;2;4;2;0;0;BB;GBR;AT Offline;0;A;Sem pgto;243;55.68;1;Confirmada;2015-07-08
0;107;2015-07-02;2015;7;2;2;5;2;0;0;BB;PRT;AT Online;0;A;Sem pgto;240;110.7;2;Confirmada;2015-07-09
0;96;2015-07-02;2015;7;2;2;5;2;0;0;BB;ESP;AT Offline;0;A;Sem pgto;134;58.95;1;Confirmada;2015-07-09
0;113;2015-07-02;2015;7;2;2;5;2;0;0;BB;NOR;AT Offline;0;E;Sem pgto;156;82.88;2;Confirmada;2015-07-09
0;90;2015-07-02;2015;7;2;2;5;2;0;0;HB;GBR;AT Offline;0;A;Sem pgto;243;82.35;0;Confirmada;2015-07-09
0;50;2015-07-02;2015;7;2;2;5;2;0;0;HB;IRL;AT Online;0;E;Sem pgto;241;119.35;1;Confirmada;2015-07-09
0;113;2015-07-02;2015;7;2;2;5;2;0;0;BB;NOR;AT Offline;0;D;Sem pgto;156;67.58;2;Confirmada;2015-07-09
0;152;2015-07-02;2015;7;2;2;5;1;0;0;HB;IRL;AT Offline;0;A;Sem pgto;243;60.35;2;Confirmada;2015-07-09
0;152;2015-07-02;2015;7;2;2;5;1;0;0;HB;GBR;AT Offline;0;A;Sem pgto;243;60.35;2;Confirmada;2015-07-09
0;226;2015-07-02;2015;7;2;2;5;2;0;0;BB;IRL;AT Offline;0;E;Sem pgto;156;87.75;0;Confirmada;2015-07-09
0;93;2015-07-02;2015;7;2;3;8;2;0;0;BB;IRL;AT Offline;0;A;Sem pgto;156;56.01;0;Confirmada;2015-07-13
0;84;2015-07-02;2015;7;2;3;8;3;0;0;FB;PRT;AT Offline;0;E;Sem pgto;5;199.5;1;Confirmada;2015-07-13
0;142;2015-07-02;2015;7;2;3;8;2;0;0;HB;DEU;AT Offline;0;D;Sem pgto;69;89.68;0;Confirmada;2015-07-13
0;76;2015-07-02;2015;7;2;4;10;2;0;0;BB;OMN;AT Offline;0;D;Sem pgto;243;110.7;0;Confirmada;2015-07-16
0;152;2015-07-02;2015;7;2;4;10;2;0;0;BB;GBR;AT Offline;0;A;Sem pgto;243;88.4;0;Confirmada;2015-07-16
0;127;2015-07-02;2015;7;2;4;10;2;0;0;BB;GBR;AT Offline;0;D;Sem pgto;243;104.55;1;Confirmada;2015-07-16
1;79;2015-07-03;2015;7;3;6;15;2;1;0;BB;PRT;AT Offline;0;A;Sem pgto;242;108.73;2;Cancelada;2015-04-15
1;63;2015-07-03;2015;7;3;2;5;2;0;0;BB;PRT;AT Online;0;F;Sem pgto;242;117;1;Cancelada;2015-05-13
1;368;2015-07-03;2015;7;3;3;7;2;0;0;BB;PRT;AT Offline;0;A;Sem pgto;40;55.68;0;Cancelada;2015-05-19
1;48;2015-07-03;2015;7;3;1;2;2;0;0;BB;PRT;AT Online;0;E;Sem pgto;240;123;0;Cancelada;2015-05-26
1;109;2015-07-03;2015;7;3;0;2;2;0;0;BB;PRT;AT Online;0;A;Sem pgto;240;123;1;Cancelada;2015-05-26
1;51;2015-07-03;2015;7;3;0;2;3;0;0;BB;PRT;AT Online;0;A;Sem pgto;242;110.3;0;Cancelada;2015-06-09
1;81;2015-07-03;2015;7;3;3;7;2;0;0;HB;PRT;Direta;0;A;Sem pgto;250;124;1;Cancelada;2015-06-09
1;101;2015-07-03;2015;7;3;0;2;2;0;0;BB;PRT;AT Online;0;A;Sem pgto;240;73.8;1;Cancelada;2015-06-12
1;71;2015-07-03;2015;7;3;0;2;3;0;0;BB;PRT;AT Offline;0;A;Sem pgto;242;110.3;2;Cancelada;2015-06-16
1;63;2015-07-03;2015;7;3;0;2;2;0;0;BB;PRT;AT Online;0;A;Sem pgto;240;82;2;Cancelada;2015-06-18
1;72;2015-07-03;2015;7;3;0;2;2;0;0;BB;PRT;AT Online;0;A;Sem pgto;240;73.8;1;Cancelada;2015-06-29
1;144;2015-07-03;2015;7;3;0;2;2;0;0;BB;PRT;AT Online;0;A;Sem pgto;240;123;1;Cancelada;2015-06-30
1;62;2015-07-03;2015;7;3;0;2;2;0;0;BB;PRT;AT Online;0;D;Sem pgto;240;97;1;Cancelada;2015-07-03
0;12;2015-07-03;2015;7;3;0;1;2;0;0;BB;GBR;AT Online;0;A;Sem pgto;240;73.8;0;Confirmada;2015-07-04
0;9;2015-07-03;2015;7;3;0;1;2;0;0;BB;PRT;AT Online;0;A;Sem pgto;240;98;2;Confirmada;2015-07-04
0;1;2015-07-03;2015;7;3;0;1;2;0;0;BB;ESP;AT Online;0;A;Sem pgto;240;131;1;Confirmada;2015-07-04
0;21;2015-07-03;2015;7;3;0;1;2;0;0;BB;PRT;AT Online;0;E;Sem pgto;240;123;0;Confirmada;2015-07-04
0;9;2015-07-03;2015;7;3;0;1;2;0;0;BB;USA;AT Online;0;C;Sem pgto;241;94.71;0;Confirmada;2015-07-04
0;109;2015-07-03;2015;7;3;0;1;2;0;0;BB;BEL;AT Online;0;A;Sem pgto;240;123;2;Confirmada;2015-07-04
0;10;2015-07-03;2015;7;3;0;2;2;2;0;BB;USA;AT Online;0;G;Sem pgto;240;153;0;Confirmada;2015-07-05
0;3;2015-07-03;2015;7;3;0;2;2;0;0;BB;ESP;AT Online;0;A;Sem pgto;240;110.5;0;Confirmada;2015-07-05
0;51;2015-07-03;2015;7;3;0;2;2;0;0;BB;POL;AT Online;0;D;Sem pgto;242;97;0;Confirmada;2015-07-05
0;2;2015-07-03;2015;7;3;0;2;2;0;0;HB;PRT;AT Offline;0;A;Sem pgto;3;91.5;0;Confirmada;2015-07-05
0;15;2015-07-03;2015;7;3;0;2;2;0;0;BB;ESP;AT Online;0;A;Sem pgto;240;114.5;0;Confirmada;2015-07-05
0;116;2015-07-03;2015;7;3;0;2;3;0;0;HB;PRT;AT Online;0;G;Sem pgto;240;201;1;Confirmada;2015-07-05
0;3;2015-07-03;2015;7;3;1;2;2;0;0;BB;ESP;AT Online;0;A;Sem pgto;240;90.9;0;Confirmada;2015-07-06
0;2;2015-07-03;2015;7;3;2;2;1;0;0;BB;PRT;AT Online;0;A;Sem pgto;240;122;0;Confirmada;2015-07-07
0;72;2015-07-03;2015;7;3;2;2;2;0;0;BB;DEU;AT Offline;0;A;Sem pgto;105;110.7;0;Confirmada;2015-07-07
0;32;2015-07-03;2015;7;3;2;4;2;0;0;BB;PRT;Direta;0;F;Sem pgto;NULL;129;0;Confirmada;2015-07-09
0;63;2015-07-03;2015;7;3;2;5;3;0;0;HB;ESP;AT Offline;0;E;Sem pgto;105;196.54;1;Confirmada;2015-07-10
0;101;2015-07-03;2015;7;3;2;5;2;1;0;BB;PRT;AT Online;0;D;Sem pgto;240;99.3;2;Confirmada;2015-07-10
0;102;2015-07-03;2015;7;3;2;5;2;0;0;BB;DEU;Direta;0;E;Sem pgto;250;90.95;0;Confirmada;2015-07-10
0;121;2015-07-03;2015;7;3;2;5;2;0;0;BB;BRA;AT Offline;0;A;Sem pgto;115;58.95;1;Confirmada;2015-07-10
0;121;2015-07-03;2015;7;3;2;5;2;0;0;BB;ITA;AT Offline;0;A;Sem pgto;115;88.95;1;Confirmada;2015-07-10
0;81;2015-07-03;2015;7;3;2;6;3;0;0;BB;PRT;AT Offline;0;D;Sem pgto;5;85.86;0;Confirmada;2015-07-11
0;99;2015-07-03;2015;7;3;2;7;2;0;0;BB;FRA;AT Offline;0;A;Sem pgto;40;58.95;0;Confirmada;2015-07-12
0;364;2015-07-03;2015;7;3;3;7;2;0;0;BB;GBR;AT Offline;0;A;Sem pgto;40;55.68;0;Confirmada;2015-07-13
0;99;2015-07-03;2015;7;3;3;7;2;0;0;HB;GBR;AT Offline;0;E;Sem pgto;115;111.15;0;Confirmada;2015-07-13
0;324;2015-07-03;2015;7;3;4;10;2;0;0;HB;GBR;AT Offline;0;E;Sem pgto;40;134.73;0;Confirmada;2015-07-17
0;69;2015-07-03;2015;7;3;4;10;2;0;0;BB;GBR;AT Online;0;F;Sem pgto;241;92.45;1;Confirmada;2015-07-17
1;129;2015-07-04;2015;7;4;4;6;2;0;0;BB;PRT;AT Online;0;D;Sem pgto;240;141;1;Cancelada;2015-03-03
1;141;2015-07-04;2015;7;4;2;5;2;0;0;BB;PRT;AT Online;0;A;Sem pgto;240;123;1;Cancelada;2015-03-09
1;131;2015-07-04;2015;7;4;2;5;2;0;0;BB;PRT;AT Online;0;A;Sem pgto;240;123;1;Cancelada;2015-03-17
1;102;2015-07-04;2015;7;4;2;5;2;0;0;BB;PRT;AT Online;0;A;Sem pgto;240;110.7;1;Cancelada;2015-04-22
1;101;2015-07-04;2015;7;4;2;6;2;0;0;BB;PRT;AT Online;0;E;Sem pgto;240;96.3;1;Cancelada;2015-05-12
1;73;2015-07-04;2015;7;4;0;1;2;0;0;BB;PRT;AT Online;0;A;Sem pgto;240;73.8;2;Cancelada;2015-05-13
1;182;2015-07-04;2015;7;4;2;6;1;0;0;HB;PRT;AT Online;0;A;Sem pgto;240;88;1;Cancelada;2015-05-14
1;183;2015-07-04;2015;7;4;4;10;2;1;0;BB;PRT;Direta;0;G;Sem pgto;NULL;130;1;Cancelada;2015-05-19
1;73;2015-07-04;2015;7;4;2;5;3;0;0;HB;PRT;Direta;0;D;Sem pgto;250;172;1;Cancelada;2015-05-20
1;51;2015-07-04;2015;7;4;0;1;1;0;0;HB;PRT;AT Online;0;A;Sem pgto;240;105;0;Cancelada;2015-05-29
1;182;2015-07-04;2015;7;4;2;6;2;0;0;HB;PRT;AT Online;0;A;Sem pgto;240;112;1;Cancelada;2015-05-29
1;26;2015-07-04;2015;7;4;2;5;2;2;0;BB;PRT;AT Online;0;H;Sem pgto;240;163;0;Cancelada;2015-06-09
1;33;2015-07-04;2015;7;4;0;1;2;0;0;BB;PRT;AT Online;0;D;Sem pgto;240;113;0;Cancelada;2015-06-16
1;36;2015-07-04;2015;7;4;0;1;1;0;0;BB;PRT;Direta;0;E;Sem pgto;250;123;0;Ausente;2015-07-04
0;2;2015-07-04;2015;7;4;0;1;2;2;0;BB;PRT;AT Online;0;H;Sem pgto;240;163;0;Confirmada;2015-07-05
0;30;2015-07-04;2015;7;4;0;1;2;0;0;BB;PRT;AT Offline;0;D;Sem pgto;8;79.5;0;Confirmada;2015-07-05
0;8;2015-07-04;2015;7;4;0;1;2;0;0;BB;ESP;AT Online;0;E;Sem pgto;240;123;0;Confirmada;2015-07-05
0;0;2015-07-04;2015;7;4;0;1;2;0;0;BB;PRT;Direta;0;D;Sem pgto;NULL;131.4;0;Confirmada;2015-07-05
0;183;2015-07-04;2015;7;4;0;1;2;0;0;BB;PRT;AT Offline;0;A;Sem pgto;142;55.68;0;Confirmada;2015-07-05
0;100;2015-07-04;2015;7;4;1;1;2;0;0;BB;FRA;AT Online;0;A;Sem pgto;240;73.8;1;Confirmada;2015-07-06
0;1;2015-07-04;2015;7;4;1;1;2;0;0;BB;PRT;AT Online;0;A;Sem pgto;240;114.5;0;Confirmada;2015-07-06
0;100;2015-07-04;2015;7;4;1;1;2;0;0;BB;FRA;AT Online;0;A;Sem pgto;240;73.8;2;Confirmada;2015-07-06
0;100;2015-07-04;2015;7;4;1;1;2;0;0;BB;FRA;AT Online;0;A;Sem pgto;240;73.8;1;Confirmada;2015-07-06
0;135;2015-07-04;2015;7;4;1;1;2;0;0;BB;PRT;Direta;0;E;Sem pgto;250;154;0;Confirmada;2015-07-06
0;4;2015-07-04;2015;7;4;2;1;2;0;0;BB;ESP;Direta;0;A;Sem pgto;250;92.67;1;Confirmada;2015-07-07
0;98;2015-07-04;2015;7;4;2;1;2;0;0;BB;FRA;AT Offline;0;D;Sem pgto;8;71.55;0;Confirmada;2015-07-07
0;145;2015-07-04;2015;7;4;2;3;2;0;0;BB;PRT;AT Online;0;A;Sem pgto;240;123;1;Confirmada;2015-07-09
0;92;2015-07-04;2015;7;4;2;4;1;2;0;BB;FRA;AT Offline;0;F;Sem pgto;241;96.49;2;Confirmada;2015-07-10
0;95;2015-07-04;2015;7;4;2;4;2;0;0;BB;PRT;AT Online;0;A;Sem pgto;240;85.8;2;Confirmada;2015-07-10
0;183;2015-07-04;2015;7;4;2;4;2;0;0;BB;PRT;AT Offline;0;A;Sem pgto;142;55.68;0;Confirmada;2015-07-10
0;102;2015-07-04;2015;7;4;2;5;2;0;0;BB;PRT;AT Online;0;E;Sem pgto;240;96.3;1;Confirmada;2015-07-11
0;115;2015-07-04;2015;7;4;2;5;2;0;0;BB;PRT;AT Offline;0;A;Sem pgto;134;58.95;1;Confirmada;2015-07-11
0;102;2015-07-04;2015;7;4;2;5;2;0;1;BB;PRT;AT Online;0;A;Sem pgto;240;73.8;2;Confirmada;2015-07-11
0;86;2015-07-04;2015;7;4;2;5;2;0;0;BB;CHE;AT Online;0;D;Sem pgto;240;97;2;Confirmada;2015-07-11
0;78;2015-07-04;2015;7;4;2;5;2;0;1;HB;PRT;AT Online;0;E;Sem pgto;240;139;2;Confirmada;2015-07-11
0;52;2015-07-04;2015;7;4;2;5;2;0;0;BB;GBR;AT Online;0;A;Sem pgto;147;67.24;0;Confirmada;2015-07-11
0;158;2015-07-04;2015;7;4;2;5;2;0;0;BB;GBR;AT Online;0;E;Sem pgto;240;154;0;Confirmada;2015-07-11
0;149;2015-07-04;2015;7;4;2;5;2;0;0;HB;PRT;AT Online;0;A;Sem pgto;240;112;1;Confirmada;2015-07-11
0;127;2015-07-04;2015;7;4;2;5;2;0;0;HB;PRT;Direta;0;A;Sem pgto;NULL;96.9;0;Confirmada;2015-07-11
0;29;2015-07-04;2015;7;4;2;6;3;0;0;BB;PRT;AT Online;0;E;Sem pgto;241;116.5;1;Confirmada;2015-07-12
0;109;2015-07-04;2015;7;4;2;6;2;0;0;BB;PRT;AT Online;0;A;Sem pgto;240;123;1;Confirmada;2015-07-12
0;58;2015-07-04;2015;7;4;2;6;2;0;0;HB;PRT;Direta;0;D;Sem pgto;NULL;112.5;4;Confirmada;2015-07-12
0;130;2015-07-04;2015;7;4;2;6;2;0;0;HB;PRT;AT Offline;0;D;Sem pgto;196;96.95;1;Confirmada;2015-07-12
0;130;2015-07-04;2015;7;4;2;6;1;0;0;HB;PRT;AT Offline;0;A;Sem pgto;196;64.9;1;Confirmada;2015-07-12
0;92;2015-07-04;2015;7;4;4;6;2;0;0;BB;GBR;AT Offline;0;D;Sem pgto;40;71.55;1;Confirmada;2015-07-14
0;92;2015-07-04;2015;7;4;4;6;2;0;0;BB;PRT;AT Offline;0;D;Sem pgto;40;71.55;1;Confirmada;2015-07-14
0;79;2015-07-04;2015;7;4;4;6;2;1;0;HB;PRT;Direta;0;D;Sem pgto;250;149;1;Confirmada;2015-07-14
0;157;2015-07-04;2015;7;4;4;6;2;0;0;BB;IRL;AT Offline;0;A;Sem pgto;156;55.68;0;Confirmada;2015-07-14
0;184;2015-07-04;2015;7;4;4;11;2;0;0;BB;IRL;AT Offline;0;A;Sem pgto;156;90.95;0;Confirmada;2015-07-19
1;135;2015-07-05;2015;7;5;2;5;2;0;0;HB;PRT;AT Offline;0;A;Sem pgto;149;82.35;0;Cancelada;2015-02-25
1;128;2015-07-05;2015;7;5;2;5;2;0;0;BB;PRT;AT Offline;0;A;Sem pgto;149;58.95;0;Cancelada;2015-03-04
1;101;2015-07-05;2015;7;5;2;5;2;0;0;HB;PRT;AT Online;0;A;Sem pgto;240;114;1;Cancelada;2015-03-30
1;93;2015-07-05;2015;7;5;2;5;2;0;0;BB;PRT;AT Offline;1;A;Sem pgto;243;55.68;0;Cancelada;2015-04-03
1;93;2015-07-05;2015;7;5;2;5;2;0;0;HB;PRT;AT Offline;0;D;Sem pgto;15;105.5;0;Cancelada;2015-05-01
1;34;2015-07-05;2015;7;5;2;4;2;2;0;BB;PRT;AT Online;0;H;Sem pgto;240;163;0;Cancelada;2015-06-17
1;5;2015-07-05;2015;7;5;1;0;2;0;0;BB;PRT;AT Online;0;D;Sem pgto;240;97;0;Cancelada;2015-07-01
1;5;2015-07-05;2015;7;5;1;0;2;0;0;BB;PRT;AT Online;0;D;Sem pgto;240;97;0;Cancelada;2015-07-01
0;9;2015-07-05;2015;7;5;1;0;2;0;0;BB;ESP;AT Online;0;A;Sem pgto;240;88.2;1;Confirmada;2015-07-06
0;0;2015-07-05;2015;7;5;1;0;2;0;0;BB;ESP;AT Online;0;A;Sem pgto;306;85.1;0;Confirmada;2015-07-06
0;9;2015-07-05;2015;7;5;1;0;1;0;0;BB;DEU;AT Online;0;A;Sem pgto;184;89;0;Confirmada;2015-07-06
0;2;2015-07-05;2015;7;5;1;0;1;0;0;BB;PRT;AT Online;0;A;Sem pgto;240;80.1;0;Confirmada;2015-07-06
0;2;2015-07-05;2015;7;5;1;0;2;0;0;BB;PRT;AT Online;0;A;Sem pgto;240;98;0;Confirmada;2015-07-06
0;9;2015-07-05;2015;7;5;1;0;1;0;0;BB;DEU;AT Online;0;A;Sem pgto;184;101;0;Confirmada;2015-07-06
0;2;2015-07-05;2015;7;5;1;0;2;0;0;BB;PRT;Direta;0;G;Sem pgto;NULL;167;1;Confirmada;2015-07-06
